imgIndex,Detector,Descriptor,NumMatchBoxes,CameraTTC,LidarTTC,LidarDistance
6,Harris,Brisk,10,nan,11.8831,7.724
7,Harris,Brisk,9,12.2792,11.7831,7.659
8,Harris,Brisk,9,nan,13.5768,7.603
9,Harris,Brisk,8,nan,14.2453,7.55
10,Harris,Brisk,9,nan,11.3394,7.484
11,Harris,Brisk,8,nan,13.0298,7.427
12,Harris,Brisk,7,11.9536,8.53605,7.341
13,Harris,Brisk,9,nan,9.95617,7.268
14,Harris,Brisk,8,5.66097,9.72157,7.194
15,Harris,Brisk,9,38.3408,8.16898,7.107
16,Harris,Brisk,10,8.7674,10.3515,7.039
17,Harris,Brisk,9,12.5848,9.16182,6.963
18,Harris,Brisk,8,nan,8.82697,6.885
1,Harris,Brief,6,10.9082,12.3137,8.004
2,Harris,Brief,11,nan,11.6706,7.936
3,Harris,Brief,8,346.021,15.7721,7.886
4,Harris,Brief,11,nan,16.6787,7.839
5,Harris,Brief,9,35.3833,15.5779,7.789
6,Harris,Brief,10,nan,11.8831,7.724
7,Harris,Brief,9,14.6579,11.7831,7.659
8,Harris,Brief,9,nan,13.5768,7.603
9,Harris,Brief,8,nan,14.2453,7.55
10,Harris,Brief,9,-4.00277,11.3394,7.484
11,Harris,Brief,8,11.6702,13.0298,7.427
12,Harris,Brief,7,11.9536,8.53605,7.341
13,Harris,Brief,9,13.4095,9.95617,7.268
14,Harris,Brief,8,nan,9.72157,7.194
15,Harris,Brief,9,nan,8.16898,7.107
16,Harris,Brief,10,10.688,10.3515,7.039
17,Harris,Brief,9,12.5848,9.16182,6.963
18,Harris,Brief,8,nan,8.82697,6.885
1,Harris,Orb,6,nan,12.3137,8.004
2,Harris,Orb,11,-inf,11.6706,7.936
3,Harris,Orb,8,346.021,15.7721,7.886
4,Harris,Orb,11,11.7693,16.6787,7.839
5,Harris,Orb,9,34.7543,15.5779,7.789
6,Harris,Orb,10,13.6217,11.8831,7.724
7,Harris,Orb,9,nan,11.7831,7.659
8,Harris,Orb,9,13.5704,13.5768,7.603
9,Harris,Orb,8,nan,14.2453,7.55
10,Harris,Orb,9,nan,11.3394,7.484
11,Harris,Orb,8,nan,13.0298,7.427
12,Harris,Orb,7,11.9536,8.53605,7.341
13,Harris,Orb,9,13.4095,9.95617,7.268
14,Harris,Orb,8,5.66097,9.72157,7.194
15,Harris,Orb,9,nan,8.16898,7.107
16,Harris,Orb,10,9.79746,10.3515,7.039
17,Harris,Orb,9,12.5848,9.16182,6.963
18,Harris,Orb,8,nan,8.82697,6.885
1,Harris,Freak,6,10.9082,12.3137,8.004
2,Harris,Freak,11,nan,11.6706,7.936
3,Harris,Freak,8,nan,15.7721,7.886
4,Harris,Freak,11,11.7693,16.6787,7.839
5,Harris,Freak,9,35.3833,15.5779,7.789
6,Harris,Freak,10,nan,11.8831,7.724
7,Harris,Freak,9,12.3971,11.7831,7.659
8,Harris,Freak,9,10.7101,13.5768,7.603
9,Harris,Freak,8,nan,14.2453,7.55
10,Harris,Freak,9,nan,11.3394,7.484
11,Harris,Freak,8,11.8135,13.0298,7.427
12,Harris,Freak,7,11.9536,8.53605,7.341
13,Harris,Freak,9,nan,9.95617,7.268
14,Harris,Freak,8,nan,9.72157,7.194
15,Harris,Freak,9,nan,8.16898,7.107
16,Harris,Freak,10,nan,10.3515,7.039
17,Harris,Freak,9,nan,9.16182,6.963
18,Harris,Freak,8,nan,8.82697,6.885
1,Harris,Sift,6,nan,12.3137,8.004
2,Harris,Sift,11,-inf,11.6706,7.936
3,Harris,Sift,8,18.5701,15.7721,7.886
4,Harris,Sift,11,nan,16.6787,7.839
5,Harris,Sift,9,17.2006,15.5779,7.789
6,Harris,Sift,10,15.2483,11.8831,7.724
7,Harris,Sift,9,17.7488,11.7831,7.659
8,Harris,Sift,9,12.9162,13.5768,7.603
9,Harris,Sift,8,3.93864,14.2453,7.55
10,Harris,Sift,9,-4.00277,11.3394,7.484
11,Harris,Sift,8,nan,13.0298,7.427
12,Harris,Sift,7,12.245,8.53605,7.341
13,Harris,Sift,9,13.4095,9.95617,7.268
14,Harris,Sift,8,5.66097,9.72157,7.194
15,Harris,Sift,9,12.3873,8.16898,7.107
16,Harris,Sift,10,10.1532,10.3515,7.039
17,Harris,Sift,9,12.5848,9.16182,6.963
18,Harris,Sift,8,nan,8.82697,6.885
1,Fast,Brisk,6,12.4947,12.3137,8.004
2,Fast,Brisk,11,12.1397,11.6706,7.936
3,Fast,Brisk,8,12.1855,15.7721,7.886
4,Fast,Brisk,11,12.6,16.6787,7.839
5,Fast,Brisk,9,13.5439,15.5779,7.789
6,Fast,Brisk,10,12.0072,11.8831,7.724
7,Fast,Brisk,9,12.7284,11.7831,7.659
8,Fast,Brisk,9,12.1502,13.5768,7.603
9,Fast,Brisk,8,12.3243,14.2453,7.55
10,Fast,Brisk,9,13.5673,11.3394,7.484
11,Fast,Brisk,8,12.0003,13.0298,7.427
12,Fast,Brisk,7,12.2099,8.53605,7.341
13,Fast,Brisk,9,11.6099,9.95617,7.268
14,Fast,Brisk,8,11.3522,9.72157,7.194
15,Fast,Brisk,9,11.0469,8.16898,7.107
16,Fast,Brisk,10,11.1504,10.3515,7.039
17,Fast,Brisk,9,10.1507,9.16182,6.963
18,Fast,Brisk,8,11.7376,8.82697,6.885
1,Fast,Brief,6,11.733,12.3137,8.004
2,Fast,Brief,11,11.6543,11.6706,7.936
3,Fast,Brief,8,13.8032,15.7721,7.886
4,Fast,Brief,11,12.7784,16.6787,7.839
5,Fast,Brief,9,14.9825,15.5779,7.789
6,Fast,Brief,10,13.3479,11.8831,7.724
7,Fast,Brief,9,13.1664,11.7831,7.659
8,Fast,Brief,9,12.8392,13.5768,7.603
9,Fast,Brief,8,12.5796,14.2453,7.55
10,Fast,Brief,9,13.6593,11.3394,7.484
11,Fast,Brief,8,11.6421,13.0298,7.427
12,Fast,Brief,7,11.2415,8.53605,7.341
13,Fast,Brief,9,11.713,9.95617,7.268
14,Fast,Brief,8,10.6426,9.72157,7.194
15,Fast,Brief,9,11.6062,8.16898,7.107
16,Fast,Brief,10,10.4941,10.3515,7.039
17,Fast,Brief,9,9.62319,9.16182,6.963
18,Fast,Brief,8,11.5563,8.82697,6.885
1,Fast,Orb,6,11.2358,12.3137,8.004
2,Fast,Orb,11,12.2399,11.6706,7.936
3,Fast,Orb,8,11.7707,15.7721,7.886
4,Fast,Orb,11,12.605,16.6787,7.839
5,Fast,Orb,9,13.1788,15.5779,7.789
6,Fast,Orb,10,12.2544,11.8831,7.724
7,Fast,Orb,9,13.2164,11.7831,7.659
8,Fast,Orb,9,12.6894,13.5768,7.603
9,Fast,Orb,8,12.2977,14.2453,7.55
10,Fast,Orb,9,12.6957,11.3394,7.484
11,Fast,Orb,8,11.8388,13.0298,7.427
12,Fast,Orb,7,11.3263,8.53605,7.341
13,Fast,Orb,9,11.7503,9.95617,7.268
14,Fast,Orb,8,10.7455,9.72157,7.194
15,Fast,Orb,9,10.3848,8.16898,7.107
16,Fast,Orb,10,10.1984,10.3515,7.039
17,Fast,Orb,9,9.31926,9.16182,6.963
18,Fast,Orb,8,11.4169,8.82697,6.885
1,Fast,Freak,6,12.054,12.3137,8.004
2,Fast,Freak,11,12.3676,11.6706,7.936
3,Fast,Freak,8,13.1664,15.7721,7.886
4,Fast,Freak,11,13.2077,16.6787,7.839
5,Fast,Freak,9,12.2277,15.5779,7.789
6,Fast,Freak,10,12.075,11.8831,7.724
7,Fast,Freak,9,12.7024,11.7831,7.659
8,Fast,Freak,9,12.3932,13.5768,7.603
9,Fast,Freak,8,12.2664,14.2453,7.55
10,Fast,Freak,9,12.5612,11.3394,7.484
11,Fast,Freak,8,12.2161,13.0298,7.427
12,Fast,Freak,7,12.1046,8.53605,7.341
13,Fast,Freak,9,11.6009,9.95617,7.268
14,Fast,Freak,8,11.0839,9.72157,7.194
15,Fast,Freak,9,10.3242,8.16898,7.107
16,Fast,Freak,10,10.6546,10.3515,7.039
17,Fast,Freak,9,10.1523,9.16182,6.963
18,Fast,Freak,8,11.5076,8.82697,6.885
1,Fast,Sift,6,12.1046,12.3137,8.004
2,Fast,Sift,11,11.3828,11.6706,7.936
3,Fast,Sift,8,13.9454,15.7721,7.886
4,Fast,Sift,11,12.8131,16.6787,7.839
5,Fast,Sift,9,13.8688,15.5779,7.789
6,Fast,Sift,10,12.7991,11.8831,7.724
7,Fast,Sift,9,12.5127,11.7831,7.659
8,Fast,Sift,9,12.7075,13.5768,7.603
9,Fast,Sift,8,12.4822,14.2453,7.55
10,Fast,Sift,9,12.9335,11.3394,7.484
11,Fast,Sift,8,11.6846,13.0298,7.427
12,Fast,Sift,7,11.3991,8.53605,7.341
13,Fast,Sift,9,11.6247,9.95617,7.268
14,Fast,Sift,8,11.3317,9.72157,7.194
15,Fast,Sift,9,10.9222,8.16898,7.107
16,Fast,Sift,10,10.401,10.3515,7.039
17,Fast,Sift,9,9.23939,9.16182,6.963
18,Fast,Sift,8,10.6625,8.82697,6.885
1,Brisk,Brisk,6,13.1803,12.3137,8.004
2,Brisk,Brisk,11,21.4971,11.6706,7.936
3,Brisk,Brisk,8,12.6265,15.7721,7.886
4,Brisk,Brisk,11,15.2031,16.6787,7.839
5,Brisk,Brisk,9,29.7535,15.5779,7.789
6,Brisk,Brisk,10,16.2681,11.8831,7.724
7,Brisk,Brisk,9,16.5894,11.7831,7.659
8,Brisk,Brisk,9,16.481,13.5768,7.603
9,Brisk,Brisk,8,13.8708,14.2453,7.55
10,Brisk,Brisk,9,13.1284,11.3394,7.484
11,Brisk,Brisk,8,12.2642,13.0298,7.427
12,Brisk,Brisk,7,11.1861,8.53605,7.341
