imgIndex,Detector,Descriptor,NumMatchBoxes,CameraTTC,LidarTTC,LidarDistance
11,Akaze,Freak,8,12.176,13.0298,7.427
12,Akaze,Freak,7,10.7757,8.53605,7.341
13,Akaze,Freak,9,10.7967,9.95617,7.268
14,Akaze,Freak,8,9.85955,9.72157,7.194
15,Akaze,Freak,9,9.60156,8.16898,7.107
16,Akaze,Freak,10,10.3767,10.3515,7.039
17,Akaze,Freak,9,9.14676,9.16182,6.963
18,Akaze,Freak,8,8.78103,8.82697,6.885
1,Akaze,Akaze,6,12.388,12.3137,8.004
2,Akaze,Akaze,11,13.8818,11.6706,7.936
3,Akaze,Akaze,8,12.9226,15.7721,7.886
4,Akaze,Akaze,11,14.2584,16.6787,7.839
5,Akaze,Akaze,9,16.0799,15.5779,7.789
6,Akaze,Akaze,10,13.8327,11.8831,7.724
7,Akaze,Akaze,9,15.3486,11.7831,7.659
8,Akaze,Akaze,9,14.179,13.5768,7.603
9,Akaze,Akaze,8,13.8812,14.2453,7.55
10,Akaze,Akaze,9,11.6027,11.3394,7.484
11,Akaze,Akaze,8,12.2092,13.0298,7.427
12,Akaze,Akaze,7,10.8937,8.53605,7.341
13,Akaze,Akaze,9,11.0806,9.95617,7.268
14,Akaze,Akaze,8,10.604,9.72157,7.194
15,Akaze,Akaze,9,9.89258,8.16898,7.107
16,Akaze,Akaze,10,9.75507,10.3515,7.039
17,Akaze,Akaze,9,9.0761,9.16182,6.963
18,Akaze,Akaze,8,8.9504,8.82697,6.885
1,Akaze,Sift,6,12.4355,12.3137,8.004
2,Akaze,Sift,11,14.3973,11.6706,7.936
3,Akaze,Sift,8,13.2809,15.7721,7.886
4,Akaze,Sift,11,14.0824,16.6787,7.839
5,Akaze,Sift,9,16.1885,15.5779,7.789
6,Akaze,Sift,10,13.955,11.8831,7.724
7,Akaze,Sift,9,15.7533,11.7831,7.659
8,Akaze,Sift,9,13.7501,13.5768,7.603
9,Akaze,Sift,8,14.0271,14.2453,7.55
10,Akaze,Sift,9,11.788,11.3394,7.484
11,Akaze,Sift,8,12.2807,13.0298,7.427
12,Akaze,Sift,7,10.9925,8.53605,7.341
13,Akaze,Sift,9,10.8515,9.95617,7.268
14,Akaze,Sift,8,10.4807,9.72157,7.194
15,Akaze,Sift,9,9.88093,8.16898,7.107
16,Akaze,Sift,10,10.0024,10.3515,7.039
17,Akaze,Sift,9,9.01947,9.16182,6.963
18,Akaze,Sift,8,8.95888,8.82697,6.885
1,Sift,Brisk,6,11.6767,12.3137,8.004
2,Sift,Brisk,11,13.182,11.6706,7.936
3,Sift,Brisk,8,13.4651,15.7721,7.886
4,Sift,Brisk,11,18.4799,16.6787,7.839
5,Sift,Brisk,9,15.1927,15.5779,7.789
6,Sift,Brisk,10,11.5513,11.8831,7.724
7,Sift,Brisk,9,14.1519,11.7831,7.659
8,Sift,Brisk,9,15.226,13.5768,7.603
9,Sift,Brisk,8,13.3512,14.2453,7.55
10,Sift,Brisk,9,10.8588,11.3394,7.484
11,Sift,Brisk,8,12.7643,13.0298,7.427
12,Sift,Brisk,7,9.98261,8.53605,7.341
13,Sift,Brisk,9,9.6319,9.95617,7.268
14,Sift,Brisk,8,9.44517,9.72157,7.194
15,Sift,Brisk,9,9.4344,8.16898,7.107
16,Sift,Brisk,10,8.6137,10.3515,7.039
17,Sift,Brisk,9,9.47432,9.16182,6.963
18,Sift,Brisk,8,9.59855,8.82697,6.885
1,Sift,Brief,6,12.1588,12.3137,8.004
2,Sift,Brief,11,12.6971,11.6706,7.936
3,Sift,Brief,8,14.9865,15.7721,7.886
4,Sift,Brief,11,21.2271,16.6787,7.839
5,Sift,Brief,9,13.5967,15.5779,7.789
6,Sift,Brief,10,11.9511,11.8831,7.724
7,Sift,Brief,9,14.4356,11.7831,7.659
8,Sift,Brief,9,15.4731,13.5768,7.603
9,Sift,Brief,8,12.7577,14.2453,7.55
10,Sift,Brief,9,10.3095,11.3394,7.484
11,Sift,Brief,8,12.7643,13.0298,7.427
12,Sift,Brief,7,10.2447,8.53605,7.341
13,Sift,Brief,9,9.15488,9.95617,7.268
14,Sift,Brief,8,9.21241,9.72157,7.194
15,Sift,Brief,9,9.88496,8.16898,7.107
16,Sift,Brief,10,8.97875,10.3515,7.039
17,Sift,Brief,9,8.86009,9.16182,6.963
18,Sift,Brief,8,8.91734,8.82697,6.885
1,Sift,Freak,6,11.1812,12.3137,8.004
2,Sift,Freak,11,13.6867,11.6706,7.936
3,Sift,Freak,8,13.5384,15.7721,7.886
4,Sift,Freak,11,19.7152,16.6787,7.839
5,Sift,Freak,9,15.4624,15.5779,7.789
6,Sift,Freak,10,11.7715,11.8831,7.724
7,Sift,Freak,9,14.619,11.7831,7.659
8,Sift,Freak,9,13.3166,13.5768,7.603
9,Sift,Freak,8,13.9274,14.2453,7.55
10,Sift,Freak,9,11.5178,11.3394,7.484
11,Sift,Freak,8,12.0506,13.0298,7.427
12,Sift,Freak,7,10.1382,8.53605,7.341
13,Sift,Freak,9,10.0328,9.95617,7.268
14,Sift,Freak,8,9.77603,9.72157,7.194
15,Sift,Freak,9,9.19006,8.16898,7.107
16,Sift,Freak,10,8.77164,10.3515,7.039
17,Sift,Freak,9,9.08238,9.16182,6.963
18,Sift,Freak,8,9.90599,8.82697,6.885
1,Sift,Sift,6,11.6196,12.3137,8.004
2,Sift,Sift,11,12.6526,11.6706,7.936
3,Sift,Sift,8,12.6772,15.7721,7.886
4,Sift,Sift,11,18.6291,16.6787,7.839
5,Sift,Sift,9,13.0102,15.5779,7.789
6,Sift,Sift,10,11.1131,11.8831,7.724
7,Sift,Sift,9,13.6596,11.7831,7.659
8,Sift,Sift,9,14.6916,13.5768,7.603
9,Sift,Sift,8,12.539,14.2453,7.55
10,Sift,Sift,9,10.5406,11.3394,7.484
11,Sift,Sift,8,11.1937,13.0298,7.427
12,Sift,Sift,7,11.2783,8.53605,7.341
13,Sift,Sift,9,9.15488,9.95617,7.268
14,Sift,Sift,8,9.95534,9.72157,7.194
15,Sift,Sift,9,9.64683,8.16898,7.107
16,Sift,Sift,10,8.95836,10.3515,7.039
17,Sift,Sift,9,8.69186,9.16182,6.963
18,Sift,Sift,8,9.07274,8.82697,6.885
